summary,L1,L2,L3,L4,L5
MySQL query speed,Performance,Performance,Performance,Performance,Performance
User option to specify font size of fonts used in Compendium dialog boxes.,Usability,Usability,Usability,Usability,Usability
Need a volunteer?,Documentation,Documentation,Documentation,Documentation,Documentation
Problem with Greek language txt notes,Installability,Capability,Installability,Installability,Capability
Help in using Compendium in a group working environment,Usability,Documentation,Requirements,Documentation,Usability
Compendium freezes after clicking on an icon,Reliability,Capability,Installability,Reliability,Reliability
Command Line access for Export operation,Requirements,Requirements,Migration,Requirements,Requirements
launch application,Installability,Capability,Installability,Capability,Capability
Paths in Reference nodes are not platform-agnostic,Migration,Capability,Migration,Capability,Migration
root user for MySQL,Installability,Requirements,Integrity/Security,Integrity/Security,Integrity/Security
Enhance pathways to update Tags,Usability,Requirements,Usability,Requirements,Requirements
Enhance pathways to update Tags,Usability,Usability,Usability,Usability,Usability
Enhance pathways to update Tags,Usability,Usability,Usability,Usability,Usability
Improvements to outline,Requirements,Requirements,Requirements,Requirements,Requirements
trouble logging in,Installability,Installability,Installability,Installability,Installability
Will not QUIT the program when using MySql,Reliability,Capability,Usability,Capability,Capability
This link to download icon sets is dead,Documentation,Documentation,Reliability,Capability,Installability
Failure to initiate Compendium,Installability,Installability,Installability,Installability,Installability
Allow node text background to be transparent as well,Usability,Requirements,Usability,Usability,Usability
Leopard update,Migration,Migration,Migration,Migration,Migration
Add ability to search externally referenced documents from within Compendium,Requirements,Requirements,Usability,Requirements,Requirements
XML Export corrupt on linux,Migration,Capability,Migration,Capability,Reliability
List views should show custom icons for List  Map  and Reference nodes,Usability,Capability,Usability,Capability,Usability
"Create ""template"" Stencil item",Requirements,Usability,Usability,Usability,Usability
Default the Node Image field to selected node type's image,Usability,Usability,Usability,Usability,Usability
Clearly indicate required fields in Stencil dialogs,Usability,Usability,Usability,Usability,Usability
Default buttons in Stencil dialogs,Usability,Capability,Usability,Capability,Capability
program will not start,Installability,Installability,Installability,Installability,Installability
List Node Header Spacing is not Remembered,Usability,Usability,Usability,Usability,Usability
"Following the ""Please Contact Support"" instructions",Installability,Documentation,Documentation,Documentation,Documentation
question about installation,Installability,Installability,Installability,Installability,Installability
downloading and installing on Mac OS Tiger,Installability,Installability,Installability,Installability,Installability
Feature Request,Requirements,Requirements,Requirements,Requirements,Requirements
Node position info needs rethinking as it is causing problems,Requirements,Capability,Requirements,Capability,Usability
XML Export/Import needs to include the node formatting information,Migration,Requirements,Migration,Requirements,Usability
Add weight indicator to trashbin icon,Requirements,Requirements,Usability,Requirements,Usability
Add column sorting on icon indicator columns in list and task tables,Usability,Requirements,Usability,Requirements,Usability
Overlaying shortcut icon on node icon image,Usability,Capability,Usability,Usability,Capability
Template import option to leave nodes as unread rather than make then all read.,Requirements,Capability,Usability,Requirements,Requirements
dragging tags to move them into a tag group is not working for me,Reliability,Capability,Usability,Capability,Reliability
include tags and tag groups in web map exports,Migration,Usability,Usability,Usability,Usability
Checkbox node or an option to have a checkbox besides the text,Usability,Usability,Usability,Requirements,Requirements
Web site download fails,Documentation,Installability,Reliability,Installability,Installability
Research feature,Usability,Requirements,Requirements,Requirements,Requirements
Export characteristics,Migration,Requirements,Requirements,Capability,Usability
HTML Export Feature,Migration,Requirements,Requirements,Requirements,Requirements
Download page not available,Documentation,Installability,Installability,Installability,Installability
CPU usage spikes when mouse pointer is over a node,Performance,Performance,Performance,Performance,Performance
How to write the link in the html file,Usability,Documentation,Reliability,Capability,Capability
can't download more than one time,Installability,Installability,Installability,Installability,Installability
I Had a dream...,Requirements,Requirements,Requirements,Requirements,Requirements
Tag usage improvement,Migration,Requirements,Requirements,Requirements,Usability
WebMap has a problem in Firefox with scrolling,Migration,Capability,Migration,Capability,Usability
Export Function with Update Only,Migration,Requirements,Migration,Requirements,Requirements
Can't drop and drop nodes,Usability,Usability,Usability,Capability,Usability
Working with Windows ?,Requirements,Usability,Requirements,Usability,Usability
Moving a Map,Requirements,Usability,Usability,Usability,Usability
Tag with large counts covers checkbox,Usability,Capability,Usability,Capability,Usability
RSS Feed ?,Requirements,Requirements,Migration,Requirements,Requirements
Selecting existing node for ALT-shortcut child deletes parent,Usability,Capability,Reliability,Capability,Capability
Expert system,Requirements,Requirements,Requirements,Requirements,Requirements
Without default project can open multiple Open Project dialogs,Capability,Capability,Usability,Capability,Capability
Locked views,Usability,Requirements,Usability,Requirements,Requirements
"Ability to enable/disable ""Rearrange"" function on a per-Map basis",Usability,Usability,Requirements,Requirements,Requirements
downloading problem,Installability,Installability,Installability,Installability,Installability
Exporting/sharing file with another user,Migration,Requirements,Capability,Capability,Requirements
Files written to installation directory,Migration,Installability,Installability,Integrity/Security,Installability
Cannot execute compendium.sh through symlink,Capability,Capability,Reliability,Reliability,Installability
Cant create new maps,Reliability,Documentation,Reliability,Capability,Capability
Cannot remove a project from project management,Usability,Capability,Reliability,Capability,Capability
Clone a Concept,Usability,Capability,Reliability,Capability,Usability
Automatically delete Linked Files,Usability,Requirements,Requirements,Requirements,Usability
Sort nodes in the outline view,Usability,Requirements,Requirements,Usability,Usability
Delays After Clicking a Node,Performance,Performance,Performance,Performance,Performance
Synchronous shared Compendium over the internet (you see my screen),Requirements,Requirements,Requirements,Requirements,Requirements
Auto-complete should display nodes with matching substring in name,Requirements,Usability,Usability,Usability,Usability
Lock node location on the screen,Usability,Usability,Usability,Requirements,Usability
Allow links between nodes in different maps,Requirements,Usability,Usability,Usability,Usability
Prob: Dragging and dropping Excel Worksheet for building nodes structure,Migration,Capability,Reliability,Capability,Usability
Errors in export to HTML Map,Reliability,Capability,Reliability,Reliability,Reliability
Suppress or escape special characters in HTML export,Migration,Requirements,Requirements,Capability,Usability
Friendly tooltips on Web Export,Migration,Requirements,Requirements,Capability,Usability
Be able to define tags group inside another tags group,Requirements,Usability,Usability,Usability,Requirements
Be able to create slides show based on existing maps,Requirements,Requirements,Requirements,Requirements,Requirements
locked out of files due to forgotten user name and password,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security
Crash during install on Alpha 5 version in Debian Sid,Installability,Installability,Installability,Installability,Installability
Implement a scrollabel desktop,Usability,Requirements,Usability,Usability,Usability
Disappearing Stencils,Reliability,Capability,Reliability,Reliability,Usability
Start-up not operational,Installability,Installability,Installability,Installability,Installability
unknown string message,Capability,Capability,Reliability,Usability,Capability
reading Derby databaase (1.5.3 version) into version 2.0 : lost the linked di...,Reliability,Migration,Reliability,Migration,Reliability
Excel drop stops if there is an empty cell within the matrix being processed.=,Migration,Capability,Reliability,Capability,Reliability
Snow Leopard,Installability,Migration,Migration,Migration,Migration
Word-processing-friendly export,Migration,Capability,Migration,Requirements,Usability
Keyboard navigation from node to node,Usability,Usability,Usability,Usability,Usability
display when sharing using Cisco WebEx Meeting Center,Reliability,Capability,Usability,Capability,Usability
Compendium on Moodle 1.9,Documentation,Documentation,Documentation,Documentation,Documentation
Linked files cannot be found,Reliability,Capability,Reliability,Reliability,Usability
Not able to Uninstall- then Reinstall new version of Compendium,Installability,Installability,Installability,Installability,Installability
Failed to install (Vista) JRE code 740,Reliability,Installability,Installability,Installability,Installability
documentation,Documentation,Documentation,Documentation,Documentation,Documentation
Viewing Tags,Usability,Requirements,Requirements,Requirements,Usability
Neither web outline nor MS Word show non-English characters,Migration,Capability,Requirements,Capability,Usability
recognizing bookmarks inside PDF,Usability,Requirements,Requirements,Requirements,Requirements
Closing a movie map with a running movie still playing can crash Compendium,Reliability,Capability,Reliability,Reliability,Reliability
drag and drop of image from firefox failing,Reliability,Capability,Reliability,Reliability,Reliability
It would be nice to have the 'move label into detail' and 'move detail into l...,Requirements,Usability,Requirements,Usability,Requirements
View navigation,Usability,Usability,Requirements,Usability,Requirements
Deep Linking (Command Line Option or URL handler),Requirements,Usability,Requirements,Requirements,Requirements
FreeMind reference file search? or VUE integration?,Requirements,Requirements,Requirements,Requirements,Requirements
"Switching from the ""advanced"" interface back to the normal one in user prefer...",Usability,Capability,Reliability,Reliability,Reliability
Compendium holds the focus and won't let other windows in front,Usability,Capability,Reliability,Usability,Usability
Excel drag and drop import can't handle in-cell line breaks/empty lines (at ...,Migration,Capability,Reliability,Capability,Usability
Filenames are light grey text in choose file dialogues  hard to read (Mac),Usability,Usability,Usability,Usability,Usability
Freeze when trying to change node type,Reliability,Capability,Reliability,Reliability,Reliability
Some movie file formats cause Compendium to crash,Reliability,Capability,Reliability,Reliability,Reliability
Orange/Green tag highlighting not working on Mac,Migration,Capability,Reliability,Capability,Usability
Shift+drag movie resizing should keep proportions,Usability,Usability,Requirements,Usability,Usability
Tag indicator not appearing after insert into view from search,Usability,Capability,Usability,Capability,Usability
Changing a label's colour/bg  or link type/colour should show the new colour ...,Usability,Usability,Usability,Usability,Usability
Stencils and templates menu need to allow xml.zip files as well as just xml f...,Requirements,Requirements,Usability,Requirements,Requirements
Progress Bar for unzipping as with Movies it takes ages,Performance,Requirements,Performance,Requirements,Requirements
Grouping tags: on dragging one or more tags into a group  the group folder sh...,Usability,Requirements,Requirements,Requirements,Requirements
Web Outline export not working for new maps,Migration,Migration,Reliability,Migration,Reliability
Movies  pdf  website etc don't launch on Linux.,Migration,Capability,Migration,Capability,Reliability
Endless  hourglass / rolling donut on Linux when Compendium open.,Usability,Capability,Reliability,Usability,Usability
Running a search in the help system causes endless loop,Reliability,Capability,Reliability,Reliability,Reliability
Scribble Layer should zoom when map does.,Usability,Usability,Usability,Usability,Usability
Toolbar/history bar visibility and placement do not always persist across ses...,Usability,Usability,Reliability,Usability,Capability
"Apostrophe "" ' "" not importing into Word correctly",Migration,Capability,Reliability,Capability,Usability
drag & drop items cum arrows,Requirements,Usability,Requirements,Requirements,Requirements
Cursor stays 'thinking' in the Outline View section,Usability,Usability,Reliability,Usability,Usability
Expanding collapsed main menu does not work,Reliability,Capability,Reliability,Capability,Usability
export to svg or other mm software,Requirements,Requirements,Migration,Requirements,Requirements
Error: (ViewPane.UI.CreateNode.actionPerformed),Reliability,Capability,Reliability,Reliability,Reliability
Automatic decluttering hairball networks,Requirements,Usability,Requirements,Requirements,Requirements
Metadata tags with properties,Requirements,Requirements,Requirements,Requirements,Requirements
Project problems & recovery,Migration,Migration,Reliability,Installability,Reliability
List converted to Map continues as List,Usability,Capability,Reliability,Capability,Usability
Missing image in help,Usability,Documentation,Usability,Documentation,Usability
Can add stencil but not remove,Documentation,Usability,Usability,Capability,Usability
Cut-Paste does not need embedding warning,Usability,Requirements,Usability,Usability,Usability
Help on Inbox goes to the wrong page,Documentation,Documentation,Documentation,Documentation,Documentation
Make Export directory location user settable,Migration,Requirements,Requirements,Requirements,Capability
Hourglass cursor remains when Home view selected,Usability,Capability,Reliability,Usability,Usability
Refresh View doesn't work for local MySQL database,Reliability,Capability,Reliability,Usability,Reliability
Have relative paths entered automatically for cross platform support,Usability,Usability,Requirements,Usability,Capability
bad file permissions  as packaged,Installability,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security
First Impressions  Comments  Suggestions  and General Remarks,Requirements,Usability,Requirements,Usability,Requirements
Compendium main window cannot be resized,Usability,Capability,Usability,Usability,Usability
icons not displayed,Usability,Capability,Usability,Capability,Usability
detail popups exlcluded in web maps,Usability,Capability,Usability,Capability,Usability
thickness of links does not change,Usability,Capability,Usability,Capability,Capability
lost link groups,Usability,Capability,Usability,Capability,Usability
Ref. node: manual pasting url into the ref-field,Usability,Usability,Requirements,Usability,Usability
Restore To Project for MySQL DB Fails,Migration,Migration,Reliability,Migration,Migration
Cannot open project,Reliability,Capability,Installability,Reliability,Reliability
File Path length in reference node limited to 88 characters,Reliability,Capability,Requirements,Capability,Usability
Saving projects to run on other Pcs?,Migration,Documentation,Migration,Reliability,Reliability
Can't delete nodes or maps  Aerial View is non-responsive and hourglass won't...,Usability,Capability,Reliability,Capability,Reliability
Slow performance at startup,Performance,Performance,Performance,Performance,Performance
Compendium Launch,Installability,Installability,Reliability,Installability,Installability
An open Map window doesn't show up in the Window menu list,Reliability,Capability,Reliability,Reliability,Usability
Error message opening Note node,Reliability,Capability,Reliability,Reliability,Reliability
information request for Compendium 1.5.2,Documentation,Installability,Documentation,Documentation,Documentation
Node Format Toolbar does not reappear when checked,Usability,Capability,Usability,Capability,Capability
If a map node is inside itself  deleting or cutting the map node closes the m...,Usability,Usability,Reliability,Usability,Usability
Moving between projects in one session get null error,Reliability,Capability,Reliability,Reliability,Reliability
Copy and paste from one project to another in same compendium instance,Reliability,Usability,Usability,Reliability,Reliability
Zoom auto-changes from 75% to 100% as result of clicking Focus Node after pas...,Usability,Usability,Requirements,Usability,Usability
Clicking Zoom In when the view is at Fit to Page goes right to 100%,Usability,Usability,Usability,Usability,Usability
Shortcuts should preserve Details content  not just Label,Usability,Usability,Requirements,Usability,Usability
Wrong website linked by Quick Start.,Documentation,Documentation,Reliability,Documentation,Documentation
error submitting for survey,Documentation,Usability,Documentation,Documentation,Documentation
"Web outline export translates apostrophes into ""&apos;""",Migration,Capability,Usability,Capability,Usability
feature requests from a absolute newbie: mentor  skill-level & feedback,Requirements,Documentation,Documentation,Requirements,Requirements
Option for Automatic Weighting or Manual Voting,Requirements,Requirements,Requirements,Requirements,Requirements
Drag image to create node,Usability,Usability,Requirements,Requirements,Requirements
Software seems to seek for something after you try to import an xml file whic...,Migration,Capability,Reliability,Capability,Capability
"""Search Google"" data compromise",Usability,Capability,Usability,Usability,Usability
Open a project results in an exception,Reliability,Capability,Reliability,Reliability,Reliability
style palette,Usability,Usability,Usability,Usability,Usability
size of minimised map window,Usability,Usability,Usability,Usability,Usability
web link page title -> ref node label,Usability,Usability,Usability,Usability,Usability
Same 'Javaw' issue,Installability,Installability,Installability,Installability,Installability
map windows claustrophobic movement solution,Requirements,Usability,Requirements,Requirements,Requirements
Export > Web Maps > referenced files not being exported,Reliability,Capability,Migration,Capability,Capability
exception opening map after returning to previous project,Reliability,Capability,Reliability,Reliability,Reliability
Shortcut nodes in different views = issues (possible solution included),Reliability,Capability,Reliability,Reliability,Reliability
Won't install Java  won't run,Installability,Installability,Installability,Installability,Installability
"""Mark seen"" does not working when importing xml",Migration,Capability,Reliability,Capability,Capability
Nodes do not open,Reliability,Migration,Reliability,Reliability,Reliability
Does not find if part of search string is in label and part in detail,Usability,Capability,Reliability,Capability,Usability
Drag and dropped files get wrong path on Linux,Migration,Capability,Reliability,Reliability,Reliability
Node time spans are gone after restart (MySQL database),Reliability,Capability,Reliability,Reliability,Reliability
Timeline view,Requirements,Requirements,Requirements,Requirements,Requirements
Ability to use search plugins (e.g.  Sherlock/OpenSearch) in References,Requirements,Usability,Requirements,Requirements,Requirements
Change Auto Label Searching to a preference,Requirements,Migration,Usability,Migration,Migration
Links do not open in browser,Usability,Capability,Reliability,Reliability,Reliability
Installed  but will not open / boot,Installability,Installability,Installability,Installability,Installability
Links on welcome page seem not to be working.,Usability,Capability,Reliability,Capability,Usability
I'm not getting either of my projects to open.,Usability,Capability,Installability,Capability,Reliability
Cannot Create a New Node in a Re-opened Map,Reliability,Capability,Reliability,Reliability,Reliability
Setting standard behavior for drawing links,Usability,Usability,Usability,Usability,Usability
adding nodes to lists difficult,Usability,Usability,Usability,Usability,Usability
Want to sort a List node by my own category,Requirements,Requirements,Requirements,Requirements,Requirements
Error once application is installed,Installability,Installability,Reliability,Installability,Installability
Launch fails for Word files drag & dropped into map,Reliability,Capability,Installability,Capability,Reliability
Ability to copy all nodes in a map to a new map,Usability,Usability,Usability,Usability,Usability
Can't run Compendium after installation,Installability,Installability,Installability,Installability,Installability
Compendium appears on absent screens,Capability,Capability,Migration,Migration,Capability
Windows 7,Migration,Requirements,Migration,Migration,Migration
Created projects fail to open,Reliability,Capability,Reliability,Capability,Capability
display-problems after cloning and copy/paste,Usability,Capability,Reliability,Capability,Capability
software instaled and not working,Installability,Installability,Installability,Installability,Installability
Unable to launch Compendium Installer,Installability,Installability,Installability,Installability,Installability
cannot download,Installability,Installability,Installability,Installability,Installability
Will there be an iPad version of Compendium?,Requirements,Requirements,Migration,Requirements,Requirements
Export Compendium Map as OPML,Requirements,Requirements,Migration,Requirements,Requirements
Compendium installed but won't start,Installability,Installability,Installability,Installability,Installability
Pls make a basic Compendium for Android phones,Requirements,Requirements,Migration,Requirements,Requirements
Having trouble getting started with Compendium,Installability,Usability,Usability,Documentation,Usability
Formatting of text associated with a Node,Usability,Usability,Usability,Usability,Usability
Linking by drag-hover,Requirements,Requirements,Requirements,Requirements,Requirements
Web UI,Requirements,Requirements,Migration,Requirements,Requirements
General query - seeking permission to use logo,Documentation,Documentation,Documentation,Documentation,Documentation
Accessing maps from different computers,Documentation,Usability,Migration,Documentation,Documentation
Download,Installability,Installability,Installability,Installability,Installability
Automatically creating links between existing and new thoughts,Requirements,Requirements,Requirements,Requirements,Requirements
Changing Node Type creates problems,Usability,Capability,Usability,Reliability,Usability
Moving installation,Migration,Documentation,Documentation,Migration,Migration
Integration with mendeley and other reference managers,Migration,Requirements,Requirements,Requirements,Requirements
Firefox 19.0.2,Migration,Capability,Reliability,Capability,Reliability
cannot open,Installability,Installability,Installability,Installability,Installability
Can't Download,Installability,Installability,Installability,Installability,Installability
Compendium map sometimes collapses unexplainably and I cannot load Compendium LD,Reliability,Capability,Reliability,Reliability,Reliability
Compendium NG won't start after installation,Installability,Installability,Installability,Installability,Installability
Unable to link nodes using OS X 10.9.3,Migration,Installability,Reliability,Migration,Migration
Download of Old Versions,Migration,Migration,Installability,Migration,Migration
"Error Message - ""Error. (ViewPaneUI.checkLinkRollover) null""",Reliability,Capability,Reliability,Reliability,Reliability
map/list windows that opened in non-maximized state take two clicks to maximize,Usability,Capability,Migration,Capability,Capability
Print initiation is slow,Performance,Performance,Performance,Performance,Performance
Rollover image doesn't update after being swapped out,Usability,Capability,Usability,Capability,Usability
Matching map and printer output,Usability,Usability,Usability,Usability,Usability
Add menu item for exporting templates,Requirements,Usability,Requirements,Requirements,Requirements
First letter kb shortcut for navigating through Views list (Windows convention),Usability,Usability,Usability,Usability,Usability
Opens program and then crashes,Reliability,Capability,Reliability,Reliability,Reliability
Selecting a workspace displays incorrect windows,Usability,Capability,Usability,Capability,Usability
right to left layout pushes node further awaay,Usability,Capability,Usability,Usability,Usability
Outline export does not display umlauts,Migration,Capability,Usability,Capability,Capability
On-line bug reporting link,Documentation,Requirements,Usability,Usability,Usability
Remove password length restriction (to zero?),Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security
Sound only (no vision) from videos,Usability,Capability,Usability,Capability,Capability
Paste/cut nodes into List is not updating Views indicators,Usability,Capability,Usability,Capability,Usability
Shortcut icon for reference node - wrong,Usability,Capability,Usability,Capability,Usability
XML Import did not preserve author name,Migration,Capability,Requirements,Capability,Capability
Problems with displaying status bar,Usability,Capability,Requirements,Capability,Usability
Bug with Stencil set ordering,Usability,Capability,Migration,Usability,Usability
Stop windows moving outside accessible area.,Usability,Usability,Usability,Usability,Usability
Node icons not drawing in the Help pages.,Usability,Capability,Usability,Capability,Usability
Circle and line tool disapear when selected,Usability,Capability,Usability,Usability,Usability
"Program adds slashes (/) before quotations ("")",Usability,Capability,Usability,Capability,Capability
Tags : Show Nodes fails for a tag,Reliability,Capability,Reliability,Reliability,Reliability
Icons not shown,Usability,Capability,Usability,Usability,Usability
Link to log file for missing reference files,Usability,Usability,Reliability,Usability,Usability
Color chooser doesn't show selected color for node text background after reopen,Usability,Usability,Usability,Usability,Usability
Shortcuts exported than imported as XML become regular nodes,Migration,Capability,Usability,Capability,Capability
Loosing transclusion and weight indicators from 1.4 to 1.5,Migration,Migration,Reliability,Migration,Migration
File names for HTML web export cannot have '...' as this breaks on Linux,Reliability,Capability,Usability,Usability,Reliability
"""drag and drop"" to create a node is not working with the scribble pad",Usability,Capability,Usability,Capability,Usability
When you delete a node  it doesn't disappear until you restart app,Usability,Capability,Usability,Usability,Usability
Crash when dragging on a node or clicking a node,Reliability,Capability,Reliability,Reliability,Reliability
Add a blank gif to Reference Node Icons folder (or similar),Requirements,Usability,Usability,Requirements,Requirements
Long delay when changing icon image for map nodes,Performance,Performance,Performance,Performance,Performance
New nodes in zoomed view have full-size font initially,Usability,Usability,Usability,Usability,Usability
Node won't delete until app is shut down and restarted,Usability,Capability,Usability,Capability,Capability
Have an option to set a default background for maps,Requirements,Requirements,Usability,Requirements,Requirements
Add buttons for 'move label into detail' and 'move detail into label' to the ...,Usability,Usability,Usability,Usability,Usability
Installation in Ubuntu dapper,Installability,Installability,Installability,Installability,Installability
Tablet PC interface,Migration,Usability,Migration,Usability,Requirements
Alt+n opens a strange Input Window,Usability,Capability,Usability,Usability,Usability
Image rollover not going away if node deleted.,Usability,Capability,Usability,Capability,Usability
Clone Nodes does not correctly display refrence node icon,Usability,Capability,Usability,Usability,Usability
Align doesn't work correctly when zoom is at 75%,Usability,Capability,Usability,Usability,Usability
Bug pasting a map node inside itself when zoom is at 75%,Usability,Capability,Usability,Usability,Usability
Two different size icons at 75% zoom,Usability,Capability,Usability,Usability,Usability
Export to HTML Outline bug with references,Migration,Capability,Migration,Capability,Capability
label wrapping when zoomed changes,Usability,Capability,Usability,Usability,Usability
Loosing links when using copy/paste from/to another database,Usability,Capability,Usability,Capability,Usability
Bug inserting large search results into a view,Reliability,Capability,Reliability,Reliability,Reliability
Export to XML bug,Migration,Capability,Migration,Capability,Capability
HTML Views with included referenced files - gets it wrong,Usability,Capability,Reliability,Capability,Capability
Tag creation bug from drop-down box.,Reliability,Capability,Reliability,Reliability,Reliability
Bold text in HTML outline export is a problem,Usability,Usability,Usability,Capability,Usability
MySQL Socket Connection Reset bug / timeout issues,Reliability,Capability,Reliability,Reliability,Reliability
Bug - problem with large jpg/views export,Reliability,Capability,Reliability,Reliability,Reliability
Bug with inserting from Search results into List when node already in list,Usability,Performance,Reliability,Reliability,Reliability
Pasting nodes - location in map at 75% zoom not right,Usability,Capability,Usability,Usability,Usability
Mac freezes when backup from File menu option.,Reliability,Capability,Reliability,Reliability,Reliability
Horizontal shift of node positions in a map,Usability,Capability,Usability,Usability,Usability
Shift selecting multiple nodes to right-click deselects the actual node you a...,Usability,Capability,Usability,Usability,Usability
When you transclude to a new Map  make the link Expands on,Requirements,Requirements,Requirements,Requirements,Requirements
Make the default link in the IBIS linkset to be: Responds to - change colour ...,Requirements,Requirements,Usability,Requirements,Requirements
Export to html details buggy,Usability,Capability,Migration,Capability,Capability
Exported outline does not make sense,Usability,Capability,Reliability,Capability,Capability
Show database type in projectopen,Requirements,Usability,Requirements,Requirements,Requirements
Change Type to List and then back to another type fails,Reliability,Capability,Reliability,Capability,Capability
Foreign characters requiring two key strokes don't work in node and link labels,Usability,Capability,Reliability,Capability,Capability
Add extra depth to Linked Files folder structure to include subfolders for ea...,Usability,Requirements,Requirements,Requirements,Requirements
Font size,Usability,Capability,Usability,Usability,Usability
How to load databases from previous version?,Migration,Migration,Installability,Migration,Migration
Add version number to opening dialog,Usability,Documentation,Requirements,Requirements,Usability
Template loaded from the Templates Menu are loaded as Unseen nodes,Usability,Capability,Reliability,Capability,Capability
re-import into map loses links unless node ID's are preserved,Migration,Capability,Migration,Capability,Capability
Need a way to apply node formatting setting to a whole project,Usability,Usability,Requirements,Requirements,Requirements
Toolbar,Reliability,Capability,Installability,Capability,Capability
Putting commas in the Project name when creating a new project causes major p...,Reliability,Capability,Reliability,Reliability,Reliability
Formatting options for link lines,Usability,Requirements,Usability,Requirements,Requirements
Label text color change,Usability,Usability,Usability,Usability,Usability
Can't arrange map,Usability,Capability,Usability,Capability,Usability
Java Version Problem,Installability,Installability,Installability,Installability,Installability
After importing XML opening the imported map shows no nodes,Usability,Capability,Reliability,Capability,Usability
Need an easy way to delete a node from all views (+ a thanks!),Requirements,Usability,Requirements,Requirements,Requirements
